"SampleCode";"PeakNumber";"Compound";"SpectrumFilename";"ReferenceSpectrum";"TypicallyMonitored";"Source";"Class";"Identification";"Comment";"OBSERVATION";"NameInSoftwareComment";"InPacificLibrary";"InAtlanticLibrary";"FragmentIdentification";"AtlanticLibrary";"UsePeakApexMS";"Formula";"Halogenation";"RetentionTime1D";"RetentionTime2D";"QuantIon";"PeakArea";"UniqueMass";"SpectralSimilarity";"LipidMass";"InternalStandardArea";"RelativeArea";"Matrix";"Instrument"
"MQ512";3790;"mirex 1Cl 1";"mirex_1Cl_2_MQ512";"mirex_1Cl_2_MQ447";FALSE;"anthropogenic";"Mirex-related";"Manual-Congener Group";NA;"aC11-DP / syn or anti / metabolite mirex/ SIMIL. WITH 2,7:3,6-Dimethanonaphth[2,3-b]oxiren-8-ol, 3,4,5,6,9,9-hexachloro-1a,2,2a,3,6,6a,7,7a-octahydro-, acetate, stereoisomer";"MIREX 1 CL 2 A";FALSE;TRUE;"270 [C5Cl6]+; 366 [M-Cl4]; 471 [M-Cl]+";"mirex-1Cl isomer 2";NA;"C10HCl11";"chlorinated";1519.97;1.115;238;55515;224;566;0.31;234538;0.763546398;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3624;"mirex";"mirex_MQ447";"mirex_MQ429";TRUE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;NA;"MIREX (WITH ION 509) - TRUE MIREX";TRUE;TRUE;"505 [M-Cl]+; 540 M+";"mirex";TRUE;"C10Cl12";"chlorinated";1568.95;1.234;272;2419706;334;733;0.52;368079;12.64207078;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";3901;"mirex";"mirex_MQ429";"mirex_MQ429";TRUE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;NA;"MIREX (WITH ION 509) - TRUE MIREX";TRUE;TRUE;"505 [M-Cl]+; 540 M+";"mirex";TRUE;"C10Cl12";"chlorinated";1572.44;1.247;272;2520244;272;910;0.31;269519;30.16417898;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";3965;"mirex";"mirex_MQ512";"mirex_MQ429";TRUE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;NA;"MIREX (WITH ION 509) - TRUE MIREX";TRUE;TRUE;"505 [M-Cl]+; 540 M+";"mirex";TRUE;"C10Cl12";"chlorinated";1572.44;1.228;272;525215;272;946;0.31;234538;7.22374172;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";4807;"mirex";"mirex_MQ425";"mirex_MQ429";TRUE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;NA;"MIREX (WITH ION 509) - TRUE MIREX";TRUE;TRUE;"505 [M-Cl]+; 540 M+";"mirex";TRUE;"C10Cl12";"chlorinated";1575.94;1.254;272;846353;272;907;0.5;136167;12.43110298;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";4060;"dechlorane 602";"dechlorane_602_MQ447";"dechlorane_602_MQ429";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;"SIMILARITY NUMBER IS WITH MIREX";"MIREX (WITH ION 513) - DECHLORANE 602";FALSE;FALSE;"270 [C5Cl6]+; 608 M+";NA;NA;"C14H4Cl12O";"chlorinated";1670.39;1.366;513;13549;272;723;0.52;368079;0.070788524;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";4311;"dechlorane 602";"dechlorane_602_MQ512";"dechlorane_602_MQ429";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;"SIMILARITY NUMBER IS WITH MIREX";"MIREX (WITH ION 513) - DECHLORANE 602";FALSE;FALSE;"270 [C5Cl6]+; 608 M+";NA;NA;"C14H4Cl12O";"chlorinated";1670.39;1.36;513;1462.3;274;594;0.31;234538;0.020112292;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";5297;"dechlorane 602";"dechlorane_602_MQ425";"dechlorane_602_MQ429";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;"SIMILARITY NUMBER IS WITH MIREX";"MIREX (WITH ION 513) - DECHLORANE 602";FALSE;FALSE;"270 [C5Cl6]+; 608 M+";NA;NA;"C14H4Cl12O";"chlorinated";1673.89;1.379;513;3373.1;274;723;0.5;136167;0.049543575;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";4491;"dechlorane 602";"dechlorane_602_MQ429";"dechlorane_602_MQ429";FALSE;"anthropogenic";"Mirex-related";"Authentic MS RT";NA;"SIMILARITY NUMBER IS WITH MIREX";"MIREX (WITH ION 513) - DECHLORANE 602";FALSE;FALSE;"270 [C5Cl6]+; 608 M+";NA;NA;"C14H4Cl12O";"chlorinated";1673.89;1.379;513;19496;274;692;0.31;269519;0.233342817;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";4634;"mirex related";"mirex_related_1_MQ429";"mirex_related_1_MQ429";FALSE;"anthropogenic";"Mirex-related";"Manual";"mirex related 1 (Pacific Library)";"DECHLORANE PLUS?";"MIREX RELATED 1 P";TRUE;FALSE;"270 [C5Cl6]+; 437 [Frag]+";NA;NA;NA;"chlorinated";1701.87;1.459;272;140550;272;NA;0.31;269519;1.682208292;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";4171;"mirex related";"mirex_related_1_MQ447";"mirex_related_1_MQ429";FALSE;"anthropogenic";"Mirex-related";"Manual";"mirex related 1 (Pacific Library)";"DECHLORANE PLUS?";"MIREX RELATED 1 P";TRUE;FALSE;"270 [C5Cl6]+; 437 [Frag]+";NA;NA;NA;"chlorinated";1701.87;1.439;272;106840;272;NA;0.52;368079;0.558199567;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";4366;"mirex related";"mirex_related_1_MQ512";"mirex_related_1_MQ429";FALSE;"anthropogenic";"Mirex-related";"Manual";"mirex related 1 (Pacific Library)";"DECHLORANE PLUS?";"MIREX RELATED 1 P";TRUE;FALSE;"270 [C5Cl6]+; 437 [Frag]+";NA;NA;NA;"chlorinated";1701.87;1.432;272;15047;272;NA;0.31;234538;0.206954565;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";5392;"mirex related";"mirex_related_1_MQ425";"mirex_related_1_MQ429";FALSE;"anthropogenic";"Mirex-related";"Manual";"mirex related 1 (Pacific Library)";"DECHLORANE PLUS?";"MIREX RELATED 1 P";TRUE;FALSE;"270 [C5Cl6]+; 437 [Frag]+";NA;NA;NA;"chlorinated";1705.37;1.439;272;26607;272;587;0.5;136167;0.390799533;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";2981;"BDE-28/33";"BDE_2833_MQ447";"BDE_2833_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 3 BR";"PBDE 3 BR - BDE-28/33";TRUE;TRUE;"246 [M-Br2]+; 404 M+";"polybrominated diphenyl ether 3Br";NA;"C12H7Br3O";"brominated";1404.54;1.049;406;1878.1;406;NA;0.52;368079;0.009812379;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3451;"BDE-47";"BDE_47_MQ447";"BDE_47_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 4 BR";"PBDE 4 BR - BDE-47";TRUE;TRUE;"324 [M-Br2]+; 482 M+";"polybrominated diphenyl ether 4Br";NA;"C12H6Br4O";"brominated";1530.47;1.188;486;478927;328;NA;0.52;368079;2.502216811;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";3698;"BDE-47";"BDE_47_MQ429";"BDE_47_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 4 BR";"PBDE 4 BR - BDE-47";TRUE;TRUE;"324 [M-Br2]+; 482 M+";"polybrominated diphenyl ether 4Br";NA;"C12H6Br4O";"brominated";1533.97;1.208;486;452291;326;910;0.31;269519;5.413359451;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";3831;"BDE-47";"BDE_47_MQ512";"BDE_47_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 4 BR";"PBDE 4 BR - BDE-47";TRUE;TRUE;"324 [M-Br2]+; 482 M+";"polybrominated diphenyl ether 4Br";NA;"C12H6Br4O";"brominated";1533.97;1.181;486;49671;326;844;0.31;234538;0.68316875;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";4607;"BDE-47";"BDE_47_MQ425";"BDE_47_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 4 BR";"PBDE 4 BR - BDE-47";TRUE;TRUE;"324 [M-Br2]+; 482 M+";"polybrominated diphenyl ether 4Br";NA;"C12H6Br4O";"brominated";1537.46;1.221;486;208539;326;933;0.5;136167;3.06298883;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3739;"BDE 5Br 1";"BDE_5Br_1_MQ447";"BDE_5Br_1_MQ447";FALSE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR 1 P";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ether 5Br";NA;"C12H5Br5O";"brominated";1593.43;1.34;564;1837.1;406;546;0.52;234538;0.015063165;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";4279;"BDE-100";"BDE_100_MQ429";"BDE_100_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-100";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ther 5Br";NA;"C12H5Br5O";"brominated";1638.91;1.558;564;137399;564;907;0.31;269519;1.64449475;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";3937;"BDE-100";"BDE_100_MQ447";"BDE_100_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-100";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ther 5Br";NA;"C12H5Br5O";"brominated";1638.91;1.558;564;143578;406;884;0.52;368079;0.750142058;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";4211;"BDE-100";"BDE_100_MQ512";"BDE_100_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-100";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ther 5Br";NA;"C12H5Br5O";"brominated";1638.91;1.531;564;18374;404;729;0.31;234538;0.252713708;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";5148;"BDE-100";"BDE_100_MQ425";"BDE_100_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-100";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ther 5Br";NA;"C12H5Br5O";"brominated";1642.4;1.584;564;38606;404;807;0.5;136167;0.567039004;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";4062;"BDE-99";"BDE_99_MQ447";"BDE_99_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE 99";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ether 5Br";NA;"C12H5Br5O";"brominated";1670.39;1.61;564;26903;404;791;0.52;368079;0.140558246;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ429";4497;"BDE-99";"BDE_99_MQ429";"BDE_99_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE 99";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ether 5Br";NA;"C12H5Br5O";"brominated";1673.89;1.63;564;28828;406;819;0.31;269519;0.345035223;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";4315;"BDE-99";"BDE_99_MQ512";"BDE_99_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE 99";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ether 5Br";NA;"C12H5Br5O";"brominated";1673.89;1.604;564;3095.6;406;493;0.31;234538;0.042576497;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";5307;"BDE-99";"BDE_99_MQ425";"BDE_99_MQ447";TRUE;"anthropogenic";"PBDE";"Authentic MS RT";NA;"PBDE 5 BR";"PBDE 5 BR - BDE 99";TRUE;TRUE;"402 [M-Br2]+; 560 M+";"polybrominated diphenyl ether 5Br";NA;"C12H5Br5O";"brominated";1677.38;1.637;564;11169;404;765;0.5;136167;0.164048558;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ447";4107;"BDE 5Br 2";"BDE_5Br_2_MQ447";"BDE_5Br_2_MQ447";FALSE;"anthropogenic";"PBDE";"Manual-Congener Group";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-85 (?)";FALSE;FALSE;"402 [M-Br2]+; 560 M+";NA;NA;"C12H5Br5O";"brominated";1680.88;1.65;564;4263.7;404;666;0.52;368079;0.022276259;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ512";4336;"BDE 5Br 2";"BDE_5Br_2_MQ512";"BDE_5Br_2_MQ447";FALSE;"anthropogenic";"PBDE";"Manual-Congener Group";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-85 (?)";FALSE;FALSE;"402 [M-Br2]+; 560 M+";NA;NA;"C12H5Br5O";"brominated";1680.88;1.643;564;7657.5;406;692;0.31;234538;0.105320302;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
"MQ425";5332;"BDE 5Br 2";"BDE_5Br_2_MQ425";"BDE_5Br_2_MQ447";FALSE;"anthropogenic";"PBDE";"Manual-Congener Group";NA;"PBDE 5 BR";"PBDE 5 BR - BDE-85 (?)";FALSE;FALSE;"402 [M-Br2]+; 560 M+";NA;NA;"C12H5Br5O";"brominated";1684.38;1.663;564;6136.2;404;673;0.5;136167;0.090127564;"South Atlantic Dolphin Blubber";"GCxGC-TOF, EI, 70 eV"
